Year,Section,Topic,Count,Easy,Medium,Hard
Unknown,general_awareness,analogy,5,3,2,0
Unknown,general_awareness,averages,2,1,1,0
Unknown,general_awareness,calendar,1,0,1,0
Unknown,general_awareness,data_interpretation,1,0,0,1
Unknown,general_awareness,defense,1,1,0,0
Unknown,general_awareness,geography_india,1,1,0,0
Unknown,general_awareness,geography_world,1,1,0,0
Unknown,general_awareness,inferred_general_awareness,1,1,0,0
Unknown,general_awareness,mixtures_alligation,2,0,1,1
Unknown,general_awareness,odd_one_out,1,1,0,0
Unknown,general_awareness,percentages,2,0,2,0
Unknown,general_awareness,profit_loss,1,0,0,1
Unknown,general_awareness,ratio_proportion,1,0,1,0
Unknown,general_awareness,reading_comprehension,1,0,1,0
Unknown,general_awareness,science_physics,1,1,0,0
Unknown,general_awareness,series_completion,1,0,1,0
Unknown,general_awareness,venn_diagrams,2,0,2,0
Unknown,numerical_ability,analogy,1,0,1,0
Unknown,numerical_ability,embedded_figures,1,0,1,0
Unknown,numerical_ability,number_series,4,0,4,0
Unknown,numerical_ability,pattern_completion,1,0,1,0
Unknown,numerical_ability,profit_loss,1,1,0,0
Unknown,numerical_ability,series_completion,3,0,3,0
Unknown,numerical_ability,simple_compound_interest,1,0,1,0
Unknown,numerical_ability,venn_diagrams,8,0,8,0
Unknown,numerical_ability,vocabulary,1,1,0,0
Unknown,reasoning,analogy,4,4,0,0
Unknown,reasoning,books_authors,1,1,0,0
Unknown,reasoning,decimal_fraction,2,2,0,0
Unknown,reasoning,defense,1,1,0,0
Unknown,reasoning,inferred_reasoning,7,7,0,0
Unknown,reasoning,organizations,1,1,0,0
Unknown,reasoning,science_chemistry,1,1,0,0
Unknown,reasoning,science_physics,1,1,0,0
Unknown,reasoning,simple_compound_interest,2,0,1,1
Unknown,reasoning,speed_time_distance,1,1,0,0
Unknown,reasoning,technology,3,3,0,0
Unknown,reasoning,venn_diagrams,1,0,1,0
Unknown,verbal_ability,analogy,6,5,1,0
Unknown,verbal_ability,awards,1,1,0,0
Unknown,verbal_ability,blood_relations,1,1,0,0
Unknown,verbal_ability,calendar,1,1,0,0
Unknown,verbal_ability,current_affairs,1,0,1,0
Unknown,verbal_ability,direct_indirect,1,1,0,0
Unknown,verbal_ability,embedded_figures,6,4,2,0
Unknown,verbal_ability,inferred_verbal_ability,8,8,0,0
Unknown,verbal_ability,puzzle,1,0,1,0
Unknown,verbal_ability,reading_comprehension,1,0,1,0
Unknown,verbal_ability,technology,1,1,0,0
Unknown,verbal_ability,venn_diagrams,1,0,1,0
Unknown,verbal_ability,vocabulary,1,1,0,0
