Year,Section,Topic,Count,Easy,Medium,Hard
Unknown,reasoning,analogy,1,1,0,0
Unknown,verbal_ability,algebra,2,1,1,0
Unknown,verbal_ability,analogy,5,5,0,0
Unknown,verbal_ability,art_culture,3,3,0,0
Unknown,verbal_ability,coding_decoding,2,0,2,0
Unknown,verbal_ability,inferred_verbal_ability,3,2,1,0
Unknown,verbal_ability,organizations,1,0,1,0
Unknown,verbal_ability,polity,1,1,0,0
Unknown,verbal_ability,reading_comprehension,2,2,0,0
Unknown,verbal_ability,simple_compound_interest,3,0,2,1
Unknown,verbal_ability,technology,2,2,0,0
Unknown,verbal_ability,time_and_work,1,0,1,0
