Year,Section,Topic,Count,Easy,Medium,Hard
Unknown,verbal_ability,algebra,1,0,1,0
Unknown,verbal_ability,analogy,8,6,2,0
Unknown,verbal_ability,art_culture,1,1,0,0
Unknown,verbal_ability,awards,1,0,1,0
Unknown,verbal_ability,current_affairs,3,2,1,0
Unknown,verbal_ability,defense,1,1,0,0
Unknown,verbal_ability,economy,1,1,0,0
Unknown,verbal_ability,error_detection,1,0,1,0
Unknown,verbal_ability,geography_world,1,1,0,0
Unknown,verbal_ability,inferred_verbal_ability,3,3,0,0
Unknown,verbal_ability,polity,1,0,1,0
Unknown,verbal_ability,science_biology,1,1,0,0
Unknown,verbal_ability,science_physics,1,1,0,0
Unknown,verbal_ability,syllogism,1,1,0,0
Unknown,verbal_ability,time_and_work,1,1,0,0
