Year,Section,Topic,Count,Easy,Medium,Hard
2014,general_awareness,Inferred General Awareness,2,0,1,1
2014,general_awareness,analogy,7,4,3,0
2014,general_awareness,analogy_verbal,1,0,0,1
2014,general_awareness,blood_relations,1,0,1,0
2014,general_awareness,calendar,1,1,0,0
2014,general_awareness,decimal_fraction,1,1,0,0
2014,general_awareness,defense,1,0,1,0
2014,general_awareness,geography_india,1,1,0,0
2014,general_awareness,geography_world,1,1,0,0
2014,general_awareness,inferred_general_awareness,2,2,0,0
2014,general_awareness,mirror_water_images,1,1,0,0
2014,general_awareness,percentages,1,0,1,0
2014,general_awareness,profit_loss,1,0,1,0
2014,general_awareness,science_biology,1,0,1,0
2014,general_awareness,speed_time_distance,1,0,1,0
2014,general_awareness,time_and_work,1,0,1,0
2014,numerical_ability,Inferred Numerical Ability,3,3,0,0
2014,numerical_ability,inferred_numerical_ability,1,1,0,0
2014,numerical_ability,organizations,1,1,0,0
2014,numerical_ability,science_physics,1,1,0,0
2014,numerical_ability,technology,1,1,0,0
2014,reasoning,Inferred Reasoning,29,10,16,3
2014,reasoning,algebra,1,0,1,0
2014,reasoning,analogy,1,1,0,0
2014,reasoning,averages,1,0,1,0
2014,reasoning,inferred_reasoning,2,2,0,0
2014,reasoning,paper_folding,1,1,0,0
2014,reasoning,pattern_completion,1,0,1,0
2014,reasoning,percentages,2,0,2,0
2014,reasoning,ratio_proportion,1,0,1,0
2014,reasoning,seating_arrangement,4,4,0,0
2014,reasoning,speed_time_distance,1,0,1,0
2014,reasoning,trains_boats,1,0,1,0
2014,verbal_ability,Inferred Verbal Ability,1,0,1,0
2014,verbal_ability,analogy,1,1,0,0
2014,verbal_ability,inferred_verbal_ability,11,11,0,0
