QuestionID | Topic Name | Subject/Section
--------------------------------------------------
    1 | Reading Comprehension | Verbal Ability
    2 | Reading Comprehension | Verbal Ability
    3 | Reading Comprehension | Verbal Ability
    4 | Reading Comprehension | Verbal Ability
    5 | Error Detection | Verbal Ability
    6 | Error Detection | Verbal Ability
    7 | Error Detection | Verbal Ability
    8 | Error Detection | Verbal Ability
    9 | Error Detection | Verbal Ability
   10 | Sentence Completion | Verbal Ability
   11 | Sentence Completion | Verbal Ability
   12 | Sentence Completion | Verbal Ability
   13 | Sentence Completion | Verbal Ability
   14 | Sentence Completion | Verbal Ability
   15 | Synonyms | Verbal Ability
   16 | Synonyms | Verbal Ability
   17 | Synonyms | Verbal Ability
   18 | Antonyms | Verbal Ability
   19 | Antonyms | Verbal Ability
   20 | Antonyms | Verbal Ability
   21 | Medieval History | General Awareness
   22 | Ancient History | General Awareness
   23 | Polity | General Awareness
   24 | Modern History | General Awareness
   25 | Sports | General Awareness
   26 | Awards | General Awareness
   27 | Personalities | General Awareness
   28 | Sports | General Awareness
   29 | Indian Geography | General Awareness
   30 | Science | General Awareness
   31 | Science | General Awareness
   32 | Polity | General Awareness
   33 | Defence | General Awareness
   34 | Science | General Awareness
   35 | Indian Geography | General Awareness
   36 | World Geography | General Awareness
   37 | World Geography | General Awareness
   38 | Defence | General Awareness
   39 | Organizations | General Awareness
   40 | Books and Authors | General Awareness
   41 | Ratio and Proportion | Numerical Ability
   42 | Mixtures and Alligations | Numerical Ability
   43 | Ratio and Proportion | Numerical Ability
   44 | Average | Numerical Ability
   45 | Ratio and Proportion | Numerical Ability
   46 | Average | Numerical Ability
   47 | Profit and Loss | Numerical Ability
   48 | Profit and Loss | Numerical Ability
   49 | Profit and Loss | Numerical Ability
   50 | Percentage | Numerical Ability
   51 | Percentage | Numerical Ability
   52 | Mixtures and Alligations | Numerical Ability
   53 | Ratio and Proportion | Numerical Ability
   54 | Average | Numerical Ability
   55 | Mixtures and Alligations | Numerical Ability
   56 | Simple Interest | Numerical Ability
   57 | Simple Interest | Numerical Ability
   58 | Simple Interest | Numerical Ability
   59 | Simplification | Numerical Ability
   60 | Decimals and Fractions | Numerical Ability
   61 | Verbal Analogy | Reasoning
   62 | Verbal Analogy | Reasoning
   63 | Verbal Analogy | Reasoning
   64 | Verbal Analogy | Reasoning
   65 | Verbal Analogy | Reasoning
   66 | Verbal Analogy | Reasoning
   67 | Verbal Analogy | Reasoning
   68 | Verbal Analogy | Reasoning
   69 | Verbal Analogy | Reasoning
   70 | Verbal Analogy | Reasoning
   71 | Verbal Analogy | Reasoning
   72 | Verbal Analogy | Reasoning
   73 | Verbal Analogy | Reasoning
   74 | Verbal Analogy | Reasoning
   75 | Verbal Analogy | Reasoning
   76 | Verbal Analogy | Reasoning
   77 | Verbal Analogy | Reasoning
   78 | Verbal Analogy | Reasoning
   79 | Verbal Analogy | Reasoning
   80 | Verbal Analogy | Reasoning
   81 | Verbal Classification | Reasoning
   82 | Verbal Analogy | Reasoning
   83 | Verbal Logic | Reasoning
   84 | Verbal Series | Reasoning
   85 | Verbal Series | Reasoning
   86 | Verbal Series | Reasoning
   87 | Verbal Series | Reasoning
   88 | Verbal Series | Reasoning
   89 | Verbal Series | Reasoning
   90 | Verbal Series | Reasoning
   91 | Non-Verbal Series | Reasoning
   92 | Non-Verbal Series | Reasoning
   93 | Non-Verbal Series | Reasoning
   94 | Non-Verbal Series | Reasoning
   95 | Non-Verbal Series | Reasoning
   96 | Non-Verbal Classification | Reasoning
   97 | Non-Verbal Orientation | Reasoning
   98 | Non-Verbal Orientation | Reasoning
   99 | Non-Verbal Analogy | Reasoning
  100 | Non-Verbal Classification | Reasoning
  101 | Reading Comprehension | Verbal Ability
  102 | Reading Comprehension | Verbal Ability
  103 | Reading Comprehension | Verbal Ability
  104 | Reading Comprehension | Verbal Ability
  105 | Reading Comprehension | Verbal Ability
  106 | Error Detection | Verbal Ability
  107 | Error Detection | Verbal Ability
  108 | Error Detection | Verbal Ability
  109 | Error Detection | Verbal Ability
  110 | Error Detection | Verbal Ability
  111 | Sentence Completion | Verbal Ability
  112 | Sentence Completion | Verbal Ability
  113 | Sentence Completion | Verbal Ability
  114 | Sentence Completion | Verbal Ability
  115 | Sentence Completion | Verbal Ability
  116 | Synonyms | Verbal Ability
  117 | Synonyms | Verbal Ability
  118 | Synonyms | Verbal Ability
  119 | Antonyms | Verbal Ability
  120 | Antonyms | Verbal Ability
  121 | Ancient History | General Awareness
  122 | Ancient History | General Awareness
  123 | Modern History | General Awareness
  124 | Modern History | General Awareness
  125 | Indian Geography | General Awareness
  126 | Indian Geography | General Awareness
  127 | Indian Geography | General Awareness
  128 | World Geography | General Awareness
  129 | Environment | General Awareness
  130 | Science | General Awareness
  131 | Science | General Awareness
  132 | Books and Authors | General Awareness
  133 | Organizations | General Awareness
  134 | Science | General Awareness
  135 | World Geography | General Awareness
  136 | Personalities | General Awareness
  137 | Sports | General Awareness
  138 | Sports | General Awareness
  139 | Awards | General Awareness
  140 | Sports | General Awareness
  141 | Verbal Classification | Reasoning
  142 | Verbal Classification | Reasoning
  143 | Verbal Classification | Reasoning
  144 | Verbal Classification | Reasoning
  145 | Verbal Classification | Reasoning
  146 | Verbal Analogy | Reasoning
  147 | Verbal Analogy | Reasoning
  148 | Verbal Analogy | Reasoning
  149 | Verbal Analogy | Reasoning
  150 | Verbal Analogy | Reasoning
  151 | Verbal Analogy | Reasoning
  152 | Verbal Analogy | Reasoning
  153 | Verbal Analogy | Reasoning
  154 | Verbal Analogy | Reasoning
  155 | Verbal Analogy | Reasoning
  156 | Verbal Analogy | Reasoning
  157 | Verbal Analogy | Reasoning
  158 | Verbal Analogy | Reasoning
  159 | Verbal Analogy | Reasoning
  160 | Verbal Analogy | Reasoning
  161 | Percentage | Numerical Ability
  162 | Simple Interest | Numerical Ability
  163 | Decimals and Fractions | Numerical Ability
  164 | Simplification | Numerical Ability
  165 | Simplification | Numerical Ability
  166 | Average | Numerical Ability
  167 | Average | Numerical Ability
  168 | Average | Numerical Ability
  169 | Percentage | Numerical Ability
  170 | Percentage | Numerical Ability
  171 | Percentage | Numerical Ability
  172 | Profit and Loss | Numerical Ability
  173 | Profit and Loss | Numerical Ability
  174 | Profit and Loss | Numerical Ability
  175 | Ratio and Proportion | Numerical Ability
  176 | Algebra | Numerical Ability
  177 | Algebra | Numerical Ability
  178 | Ratio and Proportion | Numerical Ability
  179 | Ratio and Proportion | Numerical Ability
  180 | Ratio and Proportion | Numerical Ability
  181 | Non-Verbal Spatial | Reasoning
  182 | Non-Verbal Spatial | Reasoning
  183 | Non-Verbal Spatial | Reasoning
  184 | Non-Verbal Spatial | Reasoning
  185 | Non-Verbal Orientation | Reasoning
  186 | Non-Verbal Pattern | Reasoning
  187 | Non-Verbal Pattern | Reasoning
  188 | Non-Verbal Pattern | Reasoning
  189 | Non-Verbal Pattern | Reasoning
  190 | Non-Verbal Pattern | Reasoning
  191 | Non-Verbal Spatial | Reasoning
  192 | Non-Verbal Spatial | Reasoning
  193 | Non-Verbal Spatial | Reasoning
  194 | Non-Verbal Spatial | Reasoning
  195 | Non-Verbal Spatial | Reasoning
  196 | Non-Verbal Puzzle | Reasoning
  197 | Non-Verbal Puzzle | Reasoning
  198 | Non-Verbal Puzzle | Reasoning
  199 | Non-Verbal Puzzle | Reasoning
  200 | Non-Verbal Puzzle | Reasoning
  201 | Reading Comprehension | Verbal Ability
  202 | Reading Comprehension | Verbal Ability
  203 | Reading Comprehension | Verbal Ability
  204 | Synonyms | Verbal Ability
  205 | Synonyms | Verbal Ability
  206 | Synonyms | Verbal Ability
  207 | Antonyms | Verbal Ability
  208 | Antonyms | Verbal Ability
  209 | Antonyms | Verbal Ability
  210 | Antonyms | Verbal Ability
  211 | Error Spotting | Verbal Ability
  212 | Error Spotting | Verbal Ability
  213 | Error Spotting | Verbal Ability
  214 | Error Spotting | Verbal Ability
  215 | Error Spotting | Verbal Ability
  216 | Sentence Completion | Verbal Ability
  217 | Sentence Completion | Verbal Ability
  218 | Sentence Completion | Verbal Ability
  219 | Sentence Completion | Verbal Ability
  220 | Sentence Completion | Verbal Ability
  221 | Modern History | General Awareness
  222 | Medieval History | General Awareness
  223 | Modern History | General Awareness
  224 | Indian Polity | General Awareness
  225 | Sports | General Awareness
  226 | Sports | General Awareness
  227 | Sports | General Awareness
  228 | Sports | General Awareness
  229 | Science | General Awareness
  230 | Economics | General Awareness
  231 | Indian Geography | General Awareness
  232 | Science | General Awareness
  233 | Science | General Awareness
  234 | Defence | General Awareness
  235 | Defence | General Awareness
  236 | Science | General Awareness
  237 | Science | General Awareness
  238 | Science | General Awareness
  239 | Science | General Awareness
  240 | Science | General Awareness
  241 | Number System | Numerical Ability
  242 | Ratio and Proportion | Numerical Ability
  243 | Simplification | Numerical Ability
  244 | Algebra | Numerical Ability
  245 | Ratio and Proportion | Numerical Ability
  246 | Simplification | Numerical Ability
  247 | Average | Numerical Ability
  248 | Ratio and Proportion | Numerical Ability
  249 | Average | Numerical Ability
  250 | Simple Interest | Numerical Ability
  251 | Simple Interest | Numerical Ability
  252 | Simple Interest | Numerical Ability
  253 | Percentage | Numerical Ability
  254 | Percentage | Numerical Ability
  255 | Percentage | Numerical Ability
  256 | Ratio and Proportion | Numerical Ability
  257 | Ratio and Proportion | Numerical Ability
  258 | Mixtures and Alligations | Numerical Ability
  259 | Compound Interest | Numerical Ability
  260 | Simple Interest | Numerical Ability
  261 | Verbal Analogy | Reasoning
  262 | Verbal Analogy | Reasoning
  263 | Verbal Analogy | Reasoning
  264 | Verbal Analogy | Reasoning
  265 | Verbal Analogy | Reasoning
  266 | Verbal Analogy | Reasoning
  267 | Verbal Analogy | Reasoning
  268 | Verbal Analogy | Reasoning
  269 | Verbal Analogy | Reasoning
  270 | Verbal Analogy | Reasoning
  271 | Verbal Analogy | Reasoning
  272 | Verbal Analogy | Reasoning
  273 | Verbal Analogy | Reasoning
  274 | Verbal Analogy | Reasoning
  275 | Verbal Analogy | Reasoning
  276 | Verbal Classification | Reasoning
  277 | Verbal Classification | Reasoning
  278 | Verbal Classification | Reasoning
  279 | Verbal Classification | Reasoning
  280 | Verbal Classification | Reasoning
  281 | Non-Verbal Series | Reasoning
  282 | Non-Verbal Series | Reasoning
  283 | Non-Verbal Series | Reasoning
  284 | Non-Verbal Series | Reasoning
  285 | Non-Verbal Series | Reasoning
  286 | Dot Situation | Reasoning
  287 | Dot Situation | Reasoning
  288 | Dot Situation | Reasoning
  289 | Dot Situation | Reasoning
  290 | Dot Situation | Reasoning
  291 | Embedded Figures | Reasoning
  292 | Embedded Figures | Reasoning
  293 | Embedded Figures | Reasoning
  294 | Embedded Figures | Reasoning
  295 | Embedded Figures | Reasoning
  296 | Completion of Pattern | Reasoning
  297 | Completion of Pattern | Reasoning
  298 | Completion of Pattern | Reasoning
  299 | Completion of Pattern | Reasoning
  300 | Completion of Pattern | Reasoning
  301 | Comprehension | Verbal Ability
  302 | Comprehension | Verbal Ability
  303 | Comprehension | Verbal Ability
  304 | Comprehension | Verbal Ability
  305 | Comprehension | Verbal Ability
  306 | Synonyms | Verbal Ability
  307 | Synonyms | Verbal Ability
  308 | Synonyms | Verbal Ability
  309 | Antonyms | Verbal Ability
  310 | Antonyms | Verbal Ability
  311 | Error Detection | Verbal Ability
  312 | Error Detection | Verbal Ability
  313 | Error Detection | Verbal Ability
  314 | Error Detection | Verbal Ability
  315 | Error Detection | Verbal Ability
  316 | Sentence Completion | Verbal Ability
  317 | Sentence Completion | Verbal Ability
  318 | Sentence Completion | Verbal Ability
  319 | Sentence Completion | Verbal Ability
  320 | Sentence Completion | Verbal Ability
  321 | History - Modern | General Awareness
  322 | History - Modern | General Awareness
  323 | History - Medieval | General Awareness
  324 | History - Ancient | General Awareness
  325 | Science | General Awareness
  326 | Sports | General Awareness
  327 | Sports | General Awareness
  328 | Awards | General Awareness
  329 | Science | General Awareness
  330 | Economy | General Awareness
  331 | Geography - India | General Awareness
  332 | Science | General Awareness
  333 | Economy | General Awareness
  334 | Defence | General Awareness
  335 | Books | General Awareness
  336 | Science | General Awareness
  337 | Science | General Awareness
  338 | Sports | General Awareness
  339 | Science | General Awareness
  340 | Science | General Awareness
  341 | Number System | Numerical Ability
  342 | Average | Numerical Ability
  343 | Algebra | Numerical Ability
  344 | Algebra | Numerical Ability
  345 | Ratio & Proportion | Numerical Ability
  346 | Simplification | Numerical Ability
  347 | Percentage | Numerical Ability
  348 | Average | Numerical Ability
  349 | Ratio & Proportion | Numerical Ability
  350 | Simple Interest | Numerical Ability
  351 | Simple Interest | Numerical Ability
  352 | Simple Interest | Numerical Ability
  353 | Percentage | Numerical Ability
  354 | Percentage | Numerical Ability
  355 | Percentage | Numerical Ability
  356 | Ratio & Proportion | Numerical Ability
  357 | Compound Interest | Numerical Ability
  358 | Ratio & Proportion | Numerical Ability
  359 | Mixture & Alligation | Numerical Ability
  360 | Simple Interest | Numerical Ability
  361 | Verbal Classification | Reasoning
  362 | Verbal Classification | Reasoning
  363 | Verbal Classification | Reasoning
  364 | Verbal Classification | Reasoning
  365 | Verbal Classification | Reasoning
  366 | Verbal Analogy | Reasoning
  367 | Verbal Analogy | Reasoning
  368 | Verbal Analogy | Reasoning
  369 | Verbal Analogy | Reasoning
  370 | Verbal Analogy | Reasoning
  371 | Verbal Classification | Reasoning
  372 | Verbal Classification | Reasoning
  373 | Verbal Classification | Reasoning
  374 | Verbal Classification | Reasoning
  375 | Verbal Classification | Reasoning
  376 | Verbal Classification | Reasoning
  377 | Verbal Classification | Reasoning
  378 | Verbal Classification | Reasoning
  379 | Verbal Classification | Reasoning
  380 | Verbal Classification | Reasoning
  381 | Non-Verbal Series | Reasoning
  382 | Non-Verbal Series | Reasoning
  383 | Non-Verbal Series | Reasoning
  384 | Non-Verbal Series | Reasoning
  385 | Non-Verbal Series | Reasoning
  386 | Pattern | Reasoning
  387 | Pattern | Reasoning
  388 | Pattern | Reasoning
  389 | Pattern | Reasoning
  390 | Pattern | Reasoning
  391 | Spatial Ability | Reasoning
  392 | Spatial Ability | Reasoning
  393 | Spatial Ability | Reasoning
  394 | Spatial Ability | Reasoning
  395 | Spatial Ability | Reasoning
  396 | Pattern | Reasoning
  397 | Pattern | Reasoning
  398 | Pattern | Reasoning
  399 | Pattern | Reasoning
  400 | Pattern | Reasoning
  401 | Reading Comprehension | Verbal Ability
  402 | Reading Comprehension | Verbal Ability
  403 | Reading Comprehension | Verbal Ability
  404 | Reading Comprehension | Verbal Ability
  405 | Cloze Test | Verbal Ability
  406 | Cloze Test | Verbal Ability
  407 | Cloze Test | Verbal Ability
  408 | Cloze Test | Verbal Ability
  409 | Cloze Test | Verbal Ability
  410 | Cloze Test | Verbal Ability
  411 | Synonyms | Verbal Ability
  412 | Synonyms | Verbal Ability
  413 | Antonyms | Verbal Ability
  414 | Antonyms | Verbal Ability
  415 | Antonyms | Verbal Ability
  416 | One Word Substitution | Verbal Ability
  417 | One Word Substitution | Verbal Ability
  418 | One Word Substitution | Verbal Ability
  419 | One Word Substitution | Verbal Ability
  420 | One Word Substitution | Verbal Ability
  421 | Grammar | Verbal Ability
  422 | Grammar | Verbal Ability
  423 | Grammar | Verbal Ability
  424 | Grammar | Verbal Ability
  425 | Grammar | Verbal Ability
  426 | Modern History | General Awareness
  427 | Polity | General Awareness
  428 | World Geography | General Awareness
  429 | Science | General Awareness
  430 | Organizations | General Awareness
  431 | Defence | General Awareness
  432 | Science | General Awareness
  433 | Ancient History | General Awareness
  434 | Modern History | General Awareness
  435 | Polity | General Awareness
  436 | Indian Geography | General Awareness
  437 | Personalities | General Awareness
  438 | Sports | General Awareness
  439 | Science | General Awareness
  440 | Science | General Awareness
  441 | Science | General Awareness
  442 | Personalities | General Awareness
  443 | Awards | General Awareness
  444 | World Geography | General Awareness
  445 | Books | General Awareness
  446 | Polity | General Awareness
  447 | World Geography | General Awareness
  448 | Verbal Series | Reasoning
  449 | Verbal Series | Reasoning
  450 | Verbal Series | Reasoning
  451 | Verbal Coding | Reasoning
  452 | Verbal Coding | Reasoning
  453 | Verbal Analogy | Reasoning
  454 | Verbal Analogy | Reasoning
  455 | Verbal Analogy | Reasoning
  456 | Syllogism | Reasoning
  457 | Syllogism | Reasoning
  458 | Syllogism | Reasoning
  459 | Verbal Logic | Reasoning
  460 | Verbal Logic | Reasoning
  461 | Verbal Classification | Reasoning
  462 | Verbal Classification | Reasoning
  463 | Verbal Analogy | Reasoning
  464 | Verbal Analogy | Reasoning
  465 | Verbal Analogy | Reasoning
  466 | Verbal Analogy | Reasoning
  467 | Verbal Analogy | Reasoning
  468 | Verbal Analogy | Reasoning
  469 | Verbal Analogy | Reasoning
  470 | Verbal Analogy | Reasoning
  471 | Percentage | Numerical Ability
  472 | Profit and Loss | Numerical Ability
  473 | Profit and Loss | Numerical Ability
  474 | Average | Numerical Ability
  475 | Average | Numerical Ability
  476 | LCM | Numerical Ability
  477 | Time and Work | Numerical Ability
  478 | Simplification | Numerical Ability
  479 | Average | Numerical Ability
  480 | Time and Work | Numerical Ability
  481 | Ratio and Proportion | Numerical Ability
  482 | Number System | Numerical Ability
  483 | Simple Interest | Numerical Ability
  484 | Simple Interest | Numerical Ability
  485 | Algebra | Numerical Ability
  486 | Non-Verbal Pattern | Reasoning
  487 | Non-Verbal Pattern | Reasoning
  488 | Non-Verbal Pattern | Reasoning
  489 | Non-Verbal Pattern | Reasoning
  490 | Non-Verbal Analogy | Reasoning
  491 | Non-Verbal Series | Reasoning
  492 | Non-Verbal Series | Reasoning
  493 | Non-Verbal Series | Reasoning
  494 | Non-Verbal Classification | Reasoning
  495 | Non-Verbal Classification | Reasoning
  496 | Non-Verbal Classification | Reasoning
  497 | Non-Verbal Classification | Reasoning
  498 | Non-Verbal Pattern | Reasoning
  499 | Non-Verbal Pattern | Reasoning
